,wine,wine_id,appellation,color,wine_type,regions,country,classification,vintage,is_primeurs,score,confidence_index,journalist_count
129,"Verite, La Joie, Sonoma County",139098,Sonoma County,Red,,California,Usa,,2002,False,95.64,B+,3
130,"Paul Hobbs, Beckstoffer Las Piedras Vineyard Cabernet Sauvignon, St Helena",113411,St Helena,Red,,California,Usa,,2016,False,95.78,C+,3
131,"Paul Hobbs, Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon, St Helena",113410,St Helena,Red,,California,Usa,,2016,False,95.36,B,3
132,"Paul Hobbs, Cabernet Sauvignon, Napa Valley",113413,Napa Valley,Red,,California,Usa,,2016,False,91.85,A,3
133,"Doubleback, Cabernet Sauvignon, Walla Walla Valley",67468,Walla Walla Valley,Red,,Washington,Usa,,2016,False,93.8,A+,3
134,"Abreu Vineyard, Madrona Ranch Cabernet Sauvignon, Napa Valley",819,Napa Valley,Red,,California,Usa,,2009,False,97.83,B,3
135,"Ridge Vineyards, Monte Bello, Santa Cruz Mountains",120786,Santa Cruz Mountains,Red,,California,Usa,,2009,False,95.39,B+,9
136,"Ridge Vineyards, Monte Bello, Santa Cruz Mountains",120786,Santa Cruz Mountains,Red,,California,Usa,,1999,False,94.11,B,4
137,"Ridge Vineyards, Lytton Springs, Dry Creek Valley",120782,Dry Creek Valley,Red,,California,Usa,,2007,False,92.2,C+,3
138,"Ridge Vineyards, Geyserville Zinfandel, Alexander Valley",120777,Alexander Valley,Red,,California,Usa,,2007,False,90.5,C+,4
139,"Ridge Vineyards, Monte Bello, Santa Cruz Mountains",120786,Santa Cruz Mountains,Red,,California,Usa,,1988,False,87.93,C,5
140,"Marimar Estate, 'La Masia' Don Miguel Vineyard Pinot Noir, Russian River Valley",101913,Russian River Valley,Red,,California,Usa,,2014,False,87.17,A+,3
141,"Screaming Eagle, Cabernet Sauvignon, Napa Valley",125712,Napa Valley,Red,,California,Usa,,2016,False,99.43,B,3
142,"Morlet Family Vineyards, Coeur De Vallee Cabernet Sauvignon, Oakville",107391,Oakville,Red,,California,Usa,,2009,False,94.73,A+,5
143,"Morlet Family Vineyards, Mon Chevalier Cabernet Sauvignon, Knights Valley",107399,Knights Valley,Red,,California,Usa,,2009,False,94.56,B+,3
144,"Cliff Lede Vineyards, Poetry Cabernet Sauvignon, Stags Leap District",43385,Stags Leap District,Red,,California,Usa,,2009,False,93.21,B+,4
145,"Favia, 'Rompecabezas', Amador County",72712,Amador County,Red,,California,Usa,,2016,False,92.91,B+,3
146,"Dalla Valle Vineyards, Cabernet Sauvignon, Napa Valley",48287,Napa Valley,Red,,California,Usa,,2013,False,95.22,B,5
147,"Silver Oak Cellars, Cabernet Sauvignon, Napa Valley",127590,Napa Valley,Red,,California,Usa,,2009,False,88.92,A,4
148,"Dominus Estate, Christian Moueix, Napa Valley",67008,Napa Valley,Red,,California,Usa,,2015,False,97.76,B,4
149,"Dunn Vineyards, Howell Mountain Cabernet Sauvignon, California",68206,Howell Mountain,Red,,California,Usa,,2015,False,94.88,B+,3
150,"Plumpjack Winery, Syrah, Napa Valley",116695,Napa Valley,Red,,California,Usa,,2016,False,94.28,A,4
151,"Mount Veeder Winery, Cabernet Sauvignon, Napa Valley",107830,Napa Valley,Red,,California,Usa,,2015,False,91.35,B,3
152,"Girard, Napa County Cabernet Sauvignon, California",79041,California,Red,,California,Usa,,2015,False,89.76,B,3
153,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2007,False,93.89,A,8
154,"Shafer Vineyards, Hillside Select Cabernet Sauvignon, Stags Leap District",126746,Stags Leap District,Red,,California,Usa,,2013,False,97.16,A,6
155,"Lail Vineyards, J. Daniel Cuvee Cabernet Sauvignon, Napa Valley",93523,Napa Valley,Red,,California,Usa,,2015,False,98.26,C+,4
156,"Colgin Cellars, Ix Estate Red, Napa Valley",44620,Napa Valley,Red,,California,Usa,,2009,False,96.82,B+,6
157,"Larkmead Vineyards, Solari Cabernet Sauvignon, Napa Valley",94126,Napa Valley,Red,,California,Usa,,2012,False,96.68,B,7
158,"Larkmead Vineyards, Solari Cabernet Sauvignon, Napa Valley",94126,Napa Valley,Red,,California,Usa,,2010,False,96.46,B+,5
159,"Shafer Vineyards, Hillside Select Cabernet Sauvignon, Stags Leap District",126746,Stags Leap District,Red,,California,Usa,,2009,False,96.34,B+,8
160,"Dalla Valle Vineyards, Maya, Napa Valley",48290,Napa Valley,Red,,California,Usa,,2009,False,96.16,B,7
161,"Larkmead Vineyards, Lmv Salon, Napa Valley",94123,Napa Valley,Red,,California,Usa,,2010,False,95.84,B,4
162,"Verite, La Muse, Sonoma County",139099,Sonoma County,Red,,California,Usa,,2009,False,95.66,B+,4
163,"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,1991,False,95.47,C+,3
164,"Harlan Estate, Napa Valley",81980,Napa Valley,Red,,California,Usa,,2009,False,95.25,C+,8
165,"Larkmead Vineyards, Solari Cabernet Sauvignon, Napa Valley",94126,Napa Valley,Red,,California,Usa,,2015,False,95.22,C+,4
166,"Dominus Estate, Christian Moueix, Napa Valley",67008,Napa Valley,Red,,California,Usa,,2009,False,95.21,B,10
167,"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,1997,False,95.2,B,4
168,"Paul Hobbs, Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Oakville",113412,Oakville,Red,,California,Usa,,2001,False,95.19,A,4
169,"O'Shaughnessy Estate Winery, Mount Veeder Cabernet Sauvignon, Napa Valley",110039,Napa Valley,Red,,California,Usa,,2010,False,95.17,C+,3
170,"Larkmead Vineyards, Solari Cabernet Sauvignon, Napa Valley",94126,Napa Valley,Red,,California,Usa,,2014,False,95.05,B,6
171,"Spottswoode, Family Estate Grown Cabernet Sauvignon, St Helena",129353,St Helena,Red,,California,Usa,,2009,False,95.01,B,7
172,"Larkmead Vineyards, Solari Cabernet Sauvignon, Napa Valley",94126,Napa Valley,Red,,California,Usa,,2008,False,95.0,A+,4
173,"Shafer Vineyards, Hillside Select Cabernet Sauvignon, Stags Leap District",126746,Stags Leap District,Red,,California,Usa,,1999,False,94.95,B,4
174,"Verite, La Joie, Sonoma County",139098,Sonoma County,Red,,California,Usa,,2009,False,94.87,B,5
175,"Beaulieu Vineyard Bv, Georges De Latour Private Reserve Cabernet Sauvignon, Napa Valley",9765,Napa Valley,Red,,California,Usa,,2013,False,94.79,B+,5
176,"Dalla Valle Vineyards, Cabernet Sauvignon, Napa Valley",48287,Napa Valley,Red,,California,Usa,,2009,False,94.65,B+,5
