wine,wine_id,appellation,color,wine_type,regions,country,classification,vintage,is_primeurs,score,confidence_index,journalist_count
"Larkmead Vineyards, Lmv Salon, Napa Valley",94123,Napa Valley,Red,,California,Usa,,2010,False,95.84,B,4
"Verite, La Muse, Sonoma County",139099,Sonoma County,Red,,California,Usa,,2009,False,95.66,B+,4
"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,1991,False,95.47,C+,3
"Harlan Estate, Napa Valley",81980,Napa Valley,Red,,California,Usa,,2009,False,95.25,C+,8
"Larkmead Vineyards, Solari Cabernet Sauvignon, Napa Valley",94126,Napa Valley,Red,,California,Usa,,2015,False,95.22,C+,4
"Dominus Estate, Christian Moueix, Napa Valley",67008,Napa Valley,Red,,California,Usa,,2009,False,95.21,B,10
"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,1997,False,95.2,B,4
"Paul Hobbs, Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Oakville",113412,Oakville,Red,,California,Usa,,2001,False,95.19,A,4
"O'Shaughnessy Estate Winery, Mount Veeder Cabernet Sauvignon, Napa Valley",110039,Napa Valley,Red,,California,Usa,,2010,False,95.17,C+,3
"Larkmead Vineyards, Solari Cabernet Sauvignon, Napa Valley",94126,Napa Valley,Red,,California,Usa,,2014,False,95.05,B,6
"Spottswoode, Family Estate Grown Cabernet Sauvignon, St Helena",129353,St Helena,Red,,California,Usa,,2009,False,95.01,B,7
"Larkmead Vineyards, Solari Cabernet Sauvignon, Napa Valley",94126,Napa Valley,Red,,California,Usa,,2008,False,95.0,A+,4
"Shafer Vineyards, Hillside Select Cabernet Sauvignon, Stags Leap District",126746,Stags Leap District,Red,,California,Usa,,1999,False,94.95,B,4
"Verite, La Joie, Sonoma County",139098,Sonoma County,Red,,California,Usa,,2009,False,94.87,B,5
"Beaulieu Vineyard Bv, Georges De Latour Private Reserve Cabernet Sauvignon, Napa Valley",9765,Napa Valley,Red,,California,Usa,,2013,False,94.79,B+,5
"Dalla Valle Vineyards, Cabernet Sauvignon, Napa Valley",48287,Napa Valley,Red,,California,Usa,,2009,False,94.65,B+,5
"Caymus Vineyards, Special Selection Cabernet Sauvignon, Napa Valley",30130,Napa Valley,Red,,California,Usa,,2009,False,94.58,B,4
"Beaulieu Vineyard Bv, Georges De Latour Private Reserve Cabernet Sauvignon, Napa Valley",9765,Napa Valley,Red,,California,Usa,,2007,False,94.51,B,3
"Larkmead Vineyards, Solari Cabernet Sauvignon, Napa Valley",94126,Napa Valley,Red,,California,Usa,,2013,False,94.48,B,6
"Larkmead Vineyards, Solari Cabernet Sauvignon, Napa Valley",94126,Napa Valley,Red,,California,Usa,,2007,False,94.41,B,3
"Harlan Estate, Napa Valley",81980,Napa Valley,Red,,California,Usa,,1999,False,94.34,B,6
"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,1990,False,94.3,B+,4
"Larkmead Vineyards, Lmv Salon, Napa Valley",94123,Napa Valley,Red,,California,Usa,,2015,False,94.28,A,4
"Larkmead Vineyards, Lmv Salon, Napa Valley",94123,Napa Valley,Red,,California,Usa,,2009,False,94.21,B+,4
"Chappellet, Pritchard Hill Cabernet Sauvignon, Napa Valley",31619,Napa Valley,Red,,California,Usa,,2009,False,94.14,B+,7
"Larkmead Vineyards, Solari Cabernet Sauvignon, Napa Valley",94126,Napa Valley,Red,,California,Usa,,2009,False,94.12,B+,5
"Larkmead Vineyards, Lmv Salon, Napa Valley",94123,Napa Valley,Red,,California,Usa,,2014,False,94.08,A,6
"Larkmead Vineyards, Solari Cabernet Sauvignon, Napa Valley",94126,Napa Valley,Red,,California,Usa,,2005,False,94.07,C,3
"Beaulieu Vineyard Bv, Georges De Latour Private Reserve Cabernet Sauvignon, Napa Valley",9765,Napa Valley,Red,,California,Usa,,2014,False,93.92,C+,5
"Larkmead Vineyards, Lmv Salon, Napa Valley",94123,Napa Valley,Red,,California,Usa,,2013,False,93.84,B+,6
"Joseph Phelps Vineyards, Insignia, Napa Valley",89577,Napa Valley,Red,,California,Usa,,1999,False,93.72,C+,3
"Beaulieu Vineyard Bv, Georges De Latour Private Reserve Cabernet Sauvignon, Napa Valley",9765,Napa Valley,Red,,California,Usa,,2012,False,93.66,A+,5
"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,1994,False,93.66,B,6
"Ramey Wine Cellars, Pedregal Vineyard Cabernet Sauvignon, Oakville",118768,Oakville,Red,,California,Usa,,2009,False,93.55,A,3
"Gallica, Cabernet Sauvignon, Oakville",77600,Oakville,Red,,California,Usa,,2009,False,93.49,B,6
"Dunn Vineyards, Howell Mountain Cabernet Sauvignon, California",68206,Howell Mountain,Red,,California,Usa,,1999,False,93.48,B,4
"Larkmead Vineyards, Lmv Salon, Napa Valley",94123,Napa Valley,Red,,California,Usa,,2012,False,93.42,B+,6
"Robert Mondavi Winery, Reserve Cabernet Sauvignon, Napa Valley",121454,Napa Valley,Red,,California,Usa,,1999,False,93.31,C+,5
"Anakota, Helena Dakota Vineyard Cabernet Sauvignon, Knights Valley",4040,Knights Valley,Red,,California,Usa,,2009,False,93.29,A,4
"Beaulieu Vineyard Bv, Georges De Latour Private Reserve Cabernet Sauvignon, Napa Valley",9765,Napa Valley,Red,,California,Usa,,2005,False,93.29,B,3
