,wine,wine_id,appellation,color,wine_type,regions,country,classification,vintage,is_primeurs,score,confidence_index,journalist_count
116,"Robert Mondavi Winery, Reserve Cabernet Sauvignon, Napa Valley",121454,Napa Valley,Red,,California,Usa,,2009,False,90.94,C+,3
117,"Chateau Montelena, Cabernet Sauvignon, Napa Valley",39440,Napa Valley,Red,,California,Usa,,2006,False,87.93,B,4
118,"Colgin Cellars, Ix Estate Red, Napa Valley",44620,Napa Valley,Red,,California,Usa,,2006,False,97.44,B,7
119,"Sloan, Proprietary Red, Rutherford",128313,Rutherford,Red,,California,Usa,,2013,False,97.26,A,4
120,"Harlan Estate, Napa Valley",81980,Napa Valley,Red,,California,Usa,,2006,False,96.87,B,6
121,"Schrader Cellars, T6 Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Napa Valley",125502,Napa Valley,Red,,California,Usa,,2013,False,96.85,B,4
122,"Sloan, Proprietary Red, Rutherford",128313,Rutherford,Red,,California,Usa,,2015,False,96.85,B,3
123,"Abreu Vineyard, Cappella Proprietary Red, Napa Valley",816,Napa Valley,Red,,California,Usa,,2009,False,96.69,B+,3
124,"Sloan, Proprietary Red, Rutherford",128313,Rutherford,Red,,California,Usa,,2012,False,96.46,A,5
125,"Sloan, Proprietary Red, Rutherford",128313,Rutherford,Red,,California,Usa,,2008,False,96.39,A,5
126,"Sloan, Proprietary Red, Rutherford",128313,Rutherford,Red,,California,Usa,,2009,False,96.05,B+,4
127,"Shafer Vineyards, Hillside Select Cabernet Sauvignon, Stags Leap District",126746,Stags Leap District,Red,,California,Usa,,2002,False,95.52,C+,5
128,"Araujo Estate, Eisele Vineyard Cabernet Sauvignon, Napa Valley",5550,Napa Valley,Red,,California,Usa,,2007,False,94.82,C+,8
129,"Verite, La Joie, Sonoma County",139098,Sonoma County,Red,,California,Usa,,2005,False,98.22,B,4
130,"Verite, La Joie, Sonoma County",139098,Sonoma County,Red,,California,Usa,,2007,False,96.64,B,4
131,"Verite, La Joie, Sonoma County",139098,Sonoma County,Red,,California,Usa,,2002,False,95.64,B+,3
132,"Paul Hobbs, Beckstoffer Las Piedras Vineyard Cabernet Sauvignon, St Helena",113411,St Helena,Red,,California,Usa,,2016,False,95.78,C+,3
133,"Paul Hobbs, Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon, St Helena",113410,St Helena,Red,,California,Usa,,2016,False,95.36,B,3
134,"Paul Hobbs, Cabernet Sauvignon, Napa Valley",113413,Napa Valley,Red,,California,Usa,,2016,False,91.85,A,3
